code5,city,県人口シェア_2025,県人口シェア_2050,人口順位_2025,elderly_pct,elderly2050_pct,foreign_share_pct,特徴タグ,産業企業特徴,農林水産観光特徴
17201,金沢市,41.67175907320036,45.09907995196259,1,28.213426912919164,36.257970720659465,2.002364789734082,県都・商業、観光・文化、機械・IT、加賀野菜,県庁所在地で、商業、医療・福祉、教育、観光などのサービス業が集積する。機械・IT分野では澁谷工業、アイオーデータなどの本社が立地し、伝統工芸も地域経済の柱。,五郎島金時、加賀れんこん、すいかなどの都市近郊農業が特徴。
17202,七尾市,4.088147263221447,3.0600991747333017,7,41.80430288297703,49.68844514083737,2.049152732577713,能登の拠点、港湾・水産、和倉温泉、食品製造,能登中部の商業・医療・港湾拠点。和倉温泉の観光、七尾港、水産加工が重要で、スギヨ、加賀屋、EIZO七尾工場などが立地する。,能登かき、水産物、能登島の野菜や果樹など、海と農業を組み合わせた産業構造。
17203,小松市,9.481235170086379,9.60915520834611,3,29.657667905508102,36.6080649840441,3.325204196183176,建設機械、製造業、空港・物流、農業,県内有数の製造業都市。コマツ粟津工場、小松ウオール工業などの大規模事業所があり、建設機械、機械部品、繊維関連の裾野が広い。,米、トマト、たけのこなどの農業に加え、小松空港を生かした交流・物流機能を持つ。
17204,輪島市,1.7165538996823442,1.1991512052283617,12,52.39171374764595,55.34684768458248,0.6628180457558264,輪島塗、漁業、観光、震災復興,輪島塗を中心とする伝統工芸、朝市・観光、漁業、農林業が中心。大規模企業よりも地域の中小事業者と家族経営の比重が高い。,水産物、米、里山・里海の農林水産業が特徴。震災後は事業再開と担い手確保が大きな課題。
17205,珠洲市,0.9003007731282424,0.5667924099103369,17,55.31610662853641,61.83356285658076,0.8968609865470852,製塩、珪藻土、農林水産、震災復興,製塩、珪藻土製品、観光、農林水産業が中心。人口規模は小さいが、能登独自の地域資源を活用した産業が多い。,米、豆類、野菜、漁業など。震災後の人口流出と地域産業の再建が将来人口を左右する。
17206,加賀市,5.390335254684555,4.077939252966935,4,37.41625649439431,48.76814962675344,2.9533422983301274,温泉観光、機械製造、伝統工芸、果樹,山代・山中・片山津温泉を中心とする観光と製造業が二本柱。大同工業の本社・工場、小松ウオールの工場などが立地し、山中漆器や九谷焼の文化もある。,米、なし、ぶどうなどの農業が行われ、温泉・食・工芸を組み合わせた観光産業が強い。
17207,羽咋市,1.7212334083889829,1.2336070098048508,11,41.87165775401069,53.43939256982735,1.4233168079321925,能登の玄関口、電子機器、観光、自然栽培,能登南部の交通・商業拠点。EIZO羽咋工場などの製造業があり、千里浜なぎさドライブウェイを中心とする観光も重要。,神子原米、自然栽培、いちじく、ぶどうなど、地域ブランド型の農業がみられる。
17209,かほく市,3.2588649163469,3.3941755194296173,9,29.029607593143503,35.58592595026118,1.3599121547427993,IT・電子、繊維、金沢通勤圏、ぶどう,金沢通勤圏として人口が比較的安定し、IT・電子と繊維産業が特徴。PFUの石川本社・開発生産拠点が立地する。,高松ぶどう、米、砂丘地を利用した野菜などの農業が行われる。
17210,白山市,10.003505043776345,10.51437275382164,2,29.480419948475976,36.47566627427275,2.020656002348107,大規模製造業、物流、金沢都市圏、園芸農業,県内第2位の人口規模を持ち、国道8号沿線や工業団地に製造・物流企業が集積する。EIZO本社など、研究開発と生産機能を持つ企業が立地。,米、なし、トマト、ブロッコリー、白ねぎなど、手取川扇状地を生かした農業が盛ん。
17211,能美市,4.4280998074978575,4.692679869893098,6,26.814234845803053,36.422393308620855,3.617903025279735,先端製造業、繊維・素材、半導体、外国人比率高め,製造業の比重が高く、小松マテーレ、加賀東芝エレクトロニクスなど、繊維・高機能素材・半導体関連の事業所が立地する。,加賀丸いも、米などが代表的。製造業の人手を外国人住民が支える面も大きい。
17212,野々市市,5.373177056093546,6.173052884642189,5,20.939358744236795,30.46062138728324,1.3797814207650274,若い人口構成、商業・サービス、大学、金沢通勤圏,人口が比較的若く、金沢市に隣接する住宅・商業都市。金沢工業大学が立地し、教育、研究、サービス、小売の比重が高い。,市街化が進む一方、米、野菜、花きなどの都市近郊農業も残る。
17324,川北町,0.5526408027467798,0.6041474083994108,19,25.00415075543749,35.17903285345146,1.145608500747136,小規模・工業集積、電子部品、手取川扇状地、稲作,人口規模は県内最小だが、工業団地と大規模工場の影響が大きい。ジャパンディスプレイ石川工場が立地し、製造業の税収寄与が目立つ。,手取川扇状地の水田を中心に、米、大豆、野菜などを生産する。
